DOI,sensor type (gas/liquid),detect target,lower detection limit (log ppm),upper detection limit (log ppm),probe material,test operating temperature (celcius),pH value (-1 for gas detect),test medium/electrolyte
10.1109/ECTC.2017.212,gas,ammonia,-1,2,graphene,25,-1,oxygen/nitrogen
10.1117/12.2185259,gas,ammonia,0.698970004,1.176091259,graphene,25,-1,oxygen/nitrogen
10.1149/1945-7111/abdc63,liquid,uric acid,1,2.477121255,nickel(ii) oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1109/JSEN.2023.3288932,gas,hydrogen sulfide,-0.698970004,0,"poly[2,6-(4,4-bis-(2-ethylhexyl)-4h-cyclopenta [2,1-b; 3,4-b’] dithiophene)-alt-4,7-(2,1,3-benzothiadiazole)]",25,-1,oxygen/nitrogen
10.1021/acsami.1c16807,gas,hydrogen sulfide,-1.602059991,,fullerene/bromine,25,-1,oxygen/nitrogen
10.1109/LED.2011.2164230,liquid,h+,-10,2,aluminum oxide/zinc oxide,25,,water
10.1155/2013/152079,liquid,h+,-10,2,aluminum oxide/zinc oxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.cplett.2015.07.026,gas,ammonia,-0.525783736,2,poly(3-hexylthiophene),25,-1,oxygen/nitrogen
10.1016/j.mtcomm.2023.105379,gas,nitrogen dioxide,0.602059991,1.204119983,zirconium trisulfide,25,-1,oxygen/nitrogen
10.1149/2162-8777/acbf71,gas,hydrogen,-8.876148359,-3.876148359,palladium,25,-1,oxygen/nitrogen
10.3390/s22186947,liquid,cu2+,-8.494850022,-2.494850022,1-pyrenecarboxaldehyde hydrazone,25,7,water
10.1016/j.snb.2015.12.056,gas,nitrogen dioxide,-2.698970004,1.397940009,poly(3-hexylthiophene),25,-1,oxygen/nitrogen
10.7567/JJAP.55.01AE16,liquid,h+,-10,2,aluminum/zinc oxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/pssa.201300589,liquid,h+,-7,0.8,amine,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1109/EuroSOI-ULIS53016.2021.9560701,gas,nitrogen dioxide,-0.301029996,,indium oxide,150,-1,oxygen/nitrogen
10.1109/JSEN.2023.3312334,gas,hydrogen sulfide,0,,"poly[2,6-(4,4-bis-(2-ethylhexyl)-4h-cyclopenta[2,1-b;3,4-b']dithiophene)-alt-4,7-(2,1,3-benzothiadiazole)]",25,-1,oxygen/nitrogen
10.1039/d3sc03616b,liquid,hydrogen sulfide,1.256800942,2.708616331,"dodecamethylbambus[6]uril hydrate, bu[6]",25,8,water
10.1063/5.0042977,liquid,cadmium nitrate,-6.080921908,-5.698970004,polyvinyl chloride,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1063/1.3463453,liquid,h+,-9,1,amino-undecyl-triethoxysilane,25,,water
10.1109/LED.2012.2190032,gas,hydrogen,0.698970004,4,palladium,25,-1,oxygen/nitrogen
10.1149/2.0111807jss,gas,nitrogen dioxide,2.301029996,,phosphorus,25,-1,oxygen/nitrogen
10.1149/2.0111807jss,gas,ammonia,2.301029996,,phosphorus,25,-1,oxygen/nitrogen
10.1021/acsami.8b10789,gas,isopropyl amine,-2,2,poly(3-hexyl thiophene),25,-1,oxygen/nitrogen
10.3390/bios13010132,gas,nitric oxide,-0.301029996,1.477121255,poly(3-hexylthiophene),25,-1,oxygen/nitrogen
10.3390/cryst10090810,liquid,hydrogen,-7,-1,indium oxide/gallium oxide,25,7,water
10.1016/j.chemosphere.2021.131695,liquid,cr3+,-0.435807539,0.716003344,zinc oxide/graphene/phenol/ethylene oxide/benzoic acid,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acsanm.4c02392,gas,ammonia,-0.397940009,1.301029996,ruthenium,25,-1,oxygen/nitrogen
10.7567/JJAP.54.04DK02,liquid,histamine,3.000151976,,5-carboxy-1-pentanethiol,25,5.5,2-morpholinoethanesulfonic acid/water
10.1002/advs.201901001,liquid,h+,-3,2,azobenzene,25,,water
10.1002/pssa.200983310,liquid,h+,-8,0,barium strontium titanate,25,,tris/tromethamine/hydrochloric acid/water
10.1109/JSEN.2023.3304815,gas,ammonia,-1,0,tungsten disulfide,27,-1,oxygen/nitrogen
10.1109/ICSENS.2013.6688279,gas,benzene,-3,-2.346787486,platinum,200,-1,oxygen/nitrogen
10.1007/s11664-022-09526-6,liquid,h+,-9,-3,bismuth oxide,25,,water
10.1021/acsami.0c18549,gas,nitrogen dioxide,0,1.301029996,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno[3,2-b]thiophene)]",25,-1,oxygen/nitrogen
10.1002/smll.202201861,liquid,na+,-0.638272164,3.361727836,graphene/phenol/ethylene oxide/benzoic acid,25,4.7,sodium chloride/ammonium chloride/lactic acid/urea/acetic acid/water
10.1002/smll.202201861,liquid,k+,-0.408935393,3.591064607,graphene/phenol/ethylene oxide/benzoic acid,25,4.7,sodium chloride/ammonium chloride/lactic acid/urea/acetic acid/water
10.1016/j.sse.2019.107648,gas,acetone,0.698970004,3.301029996,manganese dioxide/zinc oxide,340,-1,oxygen/nitrogen
10.1002/pssa.202000278,liquid,h+,-9,1,boron/diamond,25,,boric acid/citric acid monohydrate/trisodium phosphate dodecahydrate/water
10.1039/d3ta02070c,gas,toluene,-1.096910013,0.954242509,palladium,25,-1,oxygen/nitrogen
10.1039/d3ta02070c,gas,formaldehyde,-1.301029996,0.954242509,cobalt oxide,25,-1,oxygen/nitrogen
10.1039/d3ta02070c,gas,benzene,-1.301029996,0.954242509,palladium/cobalt oxide,25,-1,oxygen/nitrogen
10.1039/d3ta02070c,gas,ammonia,-1.301029996,0.954242509,gold/cobalt oxide,25,-1,oxygen/nitrogen
10.1039/d3ta02070c,gas,nitrogen dioxide,-1.301029996,0.954242509,chromium/cobalt oxide,25,-1,oxygen/nitrogen
10.3390/s17051040,liquid,h+,-7,1,boron/diamond,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.apsusc.2023.156959,gas,nitrogen dioxide,-3.73754891,0,gold,30,-1,oxygen/nitrogen
10.3390/chemosensors10110467,gas,ammonia,0,2,polypyrrole,25,-1,oxygen/nitrogen
10.1016/j.spmi.2022.107186,liquid,h+,-9.2,-0.1,boron/silicon,30,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1002/adfm.202215215,gas,nitrogen dioxide,-0.036212173,,"2,8-difluoro-5,11-bis(triethylsilylethynyl)anthradithiophene",25,-1,oxygen/nitrogen
10.1002/admi.202100493,gas,ammonia,0.301029996,2,bithiophene,26,-1,nitrogen
10.1039/d1tc04618g,gas,acetone,-1.161150909,0.602059991,neodymium oxide/indium oxide,20,-1,oxygen/nitrogen
10.3390/s23239321,gas,ethanol,1.698970004,,molybdenum disulfide/copper phthalocyanine,25,-1,oxygen/nitrogen
10.3390/chemosensors11020074,liquid,h+,-1.9,0.2,c8-btbt,25,,sodium chloride/water
10.1021/acsami.4c03107,gas,nitrogen dioxide,-2,2,2-pyridyl diketopyrrolopyrrole,25,-1,oxygen/nitrogen
10.1039/d2sd00023g,liquid,h+,-5,-2,carbon,25,,sodium chloride/potassium chloride/calcium chloride/sodium dihydrogen phosphate/magnesium sulfate/disodium hydrogen phosphate/water
10.3390/s21144748,liquid,urea,-0.221414672,4.27827241,tin dioxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1143/APEX.4.045102,liquid,h+,-1.11,-1.01,carbon nanotube,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acsanm.3c05183,liquid,glucose,-1.762084858,3.100741949,silver,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.3390/molecules27072131,gas,ethanol,-0.301029996,1.698970004,"2,3,6,7,10,11-hexaiminotriphenylene/cu2+",25,-1,oxygen/nitrogen
10.1109/LED.2013.2278214,liquid,h+,-10,2,carbon nanotube,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
